1;0;1498;955;30;95
1;1;1766;954;28;50
1;2;1936;954;22;54
1;3;2584;946;25;75
1;4;3587;948;47;136
1;5;31;949;10;25
1;6;63;947;9;27
1;7;46;949;7;25
1;8;468;948;10;49
1;9;742;957;24;87
1;10;910;949;35;152
1;11;1256;950;15;45
1;12;1117;961;14;38
2;0;1498;955;30;95
2;1;1766;957;28;47
2;2;1936;954;22;54
2;3;2582;946;27;75
2;4;3585;948;49;136
2;5;31;949;10;25
2;6;63;947;9;27
2;7;46;949;7;25
2;8;468;948;10;49
2;9;742;957;24;87
2;10;910;949;35;152
2;11;1256;950;15;45
2;12;1117;961;14;38
3;0;1498;955;30;95
3;1;1766;957;25;47
3;2;1936;954;22;54
3;3;2582;946;27;75
3;4;3585;948;49;136
3;5;31;949;10;25
3;6;63;947;9;27
3;7;46;949;7;25
3;8;468;948;10;49
3;9;742;957;24;87
3;10;910;949;35;152
3;11;1256;950;15;45
3;12;1117;961;14;38
4;0;1498;955;30;95
4;1;1766;957;28;47
4;2;1936;952;22;56
4;3;2582;946;27;75
4;4;3581;946;53;138
4;5;31;949;10;25
4;6;63;947;9;27
4;7;46;952;7;22
4;8;468;948;10;49
4;9;742;954;24;90
4;10;910;949;35;152
4;11;1256;950;15;45
4;12;1117;959;14;40
5;0;1498;955;30;95
5;1;1766;957;28;47
5;2;1936;954;22;54
5;3;2582;946;27;75
5;4;3581;946;53;138
5;5;31;949;10;25
5;6;63;947;9;27
5;7;46;952;10;22
5;8;468;948;10;49
5;9;742;954;24;90
5;10;910;949;35;152
5;11;1258;950;13;45
5;12;1117;959;14;40
6;0;1498;955;30;95
6;1;1766;957;28;47
6;2;1936;954;22;54
6;3;2582;946;27;75
6;4;3581;948;53;136
6;5;31;949;10;25
6;6;63;947;9;27
6;7;46;952;10;22
6;8;468;948;10;49
6;9;742;954;24;90
6;10;910;949;35;152
6;11;1258;950;13;45
6;12;1117;959;14;40
7;0;1498;955;30;95
7;1;1766;957;28;47
7;2;1936;954;22;54
7;3;2582;946;27;75
7;4;3581;946;53;140
7;5;31;949;10;25
7;6;65;947;7;27
7;7;46;952;10;22
7;8;468;948;10;49
7;9;742;954;24;90
7;10;910;949;35;152
7;11;1258;950;13;45
7;12;1117;959;14;40
8;0;1498;955;30;95
8;1;1766;957;28;47
8;2;1936;954;22;54
8;3;2582;946;27;75
8;4;3579;946;55;138
8;5;31;949;10;25
8;6;65;947;10;27
8;7;46;949;10;25
8;8;468;948;10;49
8;9;740;954;26;90
8;10;910;952;35;149
8;11;1258;950;13;45
8;12;1117;959;14;40
9;0;1498;953;30;97
9;1;1766;957;28;47
9;2;1936;954;24;54
9;3;2582;946;27;75
9;4;3579;946;55;138
9;5;31;949;10;25
9;6;65;947;10;27
9;7;46;949;10;25
9;8;468;948;10;49
9;9;742;954;26;90
9;10;910;952;35;149
9;12;1117;959;14;40
9;11;1258;950;13;45
10;0;1498;953;30;97
10;1;1766;957;25;47
10;2;1941;954;22;54
10;3;2582;944;27;77
10;4;3579;943;55;141
10;5;31;949;10;25
10;6;65;947;10;27
10;7;46;949;10;25
10;8;468;948;10;49
10;9;742;954;26;90
10;10;910;952;35;149
10;12;1117;959;14;40
10;11;1258;950;13;45
11;0;1498;953;30;97
11;1;1764;957;27;47
11;2;1941;954;22;54
11;3;2582;946;27;75
11;4;3579;961;57;121
11;5;31;949;10;25
11;7;46;949;10;25
11;6;65;947;10;27
11;8;468;948;10;49
11;9;723;952;27;92
11;10;910;952;35;149
11;12;1117;961;14;38
11;11;1258;950;13;45
12;0;1498;953;30;97
12;1;1764;957;27;47
12;2;1941;954;22;54
12;3;2582;944;27;77
12;4;3579;961;57;121
12;5;31;949;10;25
12;7;46;949;10;25
12;6;65;947;10;27
12;8;468;948;10;49
12;9;723;952;27;92
12;12;1117;961;14;38
12;10;910;957;30;146
12;11;1258;950;13;45
13;0;1498;953;30;97
13;1;1764;959;27;45
13;2;1941;954;22;54
13;3;2582;946;27;75
13;4;3579;963;57;119
13;5;31;949;12;25
13;7;46;949;12;25
13;6;63;947;12;27
13;8;468;948;10;49
13;9;725;950;25;94
13;12;1119;961;12;38
13;10;908;959;32;141
13;11;1258;950;13;45
14;0;1498;953;30;97
14;2;1941;954;22;51
14;1;1764;957;27;47
14;3;2582;944;27;77
14;4;3579;959;57;123
14;5;31;949;12;25
14;7;46;949;12;25
14;6;65;947;10;27
14;8;468;948;10;49
14;9;725;950;25;94
14;12;1119;961;12;38
14;10;908;959;32;141
14;11;1258;950;13;45
15;0;1498;953;30;97
15;2;1941;954;22;51
15;1;1761;957;26;47
15;3;2582;946;27;75
15;4;3579;966;59;116
15;5;31;949;12;27
15;7;46;949;12;25
15;6;65;947;10;27
15;8;468;948;10;49
15;9;725;950;25;94
15;10;910;952;35;149
15;12;1119;959;14;40
15;11;1258;950;13;45
16;0;1498;953;32;98
16;1;1761;957;26;47
16;2;1941;954;22;51
16;3;2580;946;25;72
16;4;3579;959;55;125
16;5;31;949;12;27
16;7;48;949;10;25
16;6;65;947;12;27
16;8;468;950;10;45
16;9;725;950;25;94
16;12;1119;961;14;38
16;10;910;954;35;147
16;11;1258;950;15;47
17;0;1498;953;32;98
17;1;1759;957;28;47
17;2;1941;954;22;51
17;3;2580;946;25;72
17;4;3579;959;55;125
17;5;34;949;9;27
17;7;48;949;10;25
17;6;65;947;12;29
17;8;468;950;10;45
17;9;725;950;25;96
17;10;910;954;35;147
17;11;1258;950;15;47
17;12;1119;959;14;40
18;0;1498;953;32;96
18;1;1759;957;28;47
18;2;1941;954;22;54
18;3;2580;946;25;72
18;4;3579;943;53;141
18;5;34;949;9;25
18;7;48;949;10;25
18;6;65;947;12;27
18;8;468;950;10;45
18;9;725;950;25;94
18;10;910;954;35;147
18;12;1119;961;14;38
18;11;1258;950;15;45
19;0;1498;953;32;98
19;1;1759;957;28;47
19;2;1941;954;22;51
19;3;2580;946;25;72
19;4;3577;943;55;141
19;5;34;949;9;25
19;7;48;949;10;25
19;6;68;947;9;27
19;8;468;950;10;45
19;9;725;950;25;94
19;10;910;954;35;147
19;12;1119;961;14;38
19;11;1258;950;15;45
20;0;1498;953;32;96
20;2;1941;954;22;54
20;1;1759;957;25;47
20;3;2580;946;25;72
20;4;3577;943;55;141
20;5;34;949;9;25
20;7;48;949;10;25
20;6;68;947;9;29
20;8;468;950;10;45
20;9;725;950;27;94
20;10;910;954;35;147
20;12;1119;961;14;38
20;11;1258;950;15;45
21;0;1498;953;32;96
21;2;1941;954;22;54
21;1;1759;957;25;47
21;3;2580;946;25;72
21;4;3577;943;55;141
21;5;34;949;12;27
21;8;468;950;10;45
21;6;68;947;9;27
21;7;48;949;10;25
21;9;725;950;27;94
21;10;910;954;35;147
21;12;1119;959;14;42
21;11;1258;950;15;45
22;0;1498;953;32;96
22;2;1941;954;22;54
22;1;1759;957;25;47
22;3;2580;946;25;72
22;4;3575;943;57;141
22;5;34;949;12;25
22;8;468;950;10;45
22;7;48;949;12;25
22;6;68;947;9;27
22;9;748;957;24;81
22;10;910;954;35;147
22;12;1119;961;14;40
22;11;1258;950;15;45
23;0;1499;953;31;96
23;2;1941;954;22;54
